Alaska;Alaska;AméricaNorte;1;1
Alberta;Alberta;AméricaNorte;1;2
Estados Unidos del Oeste;USAOeste;AméricaNorte;1;3
Territorios del Noroeste;TNoroeste;AméricaNorte;2;1
Ontario;Ontario;AméricaNorte;2;2
Estados Unidos del Este;USAEste;AméricaNorte;2;3
América Central;AmeCentral;AméricaNorte;2;4
Groenlandia;Groenlan;AméricaNorte;3;1
Quebec;Quebec;AméricaNorte;3;2
Venezuela;Venezuela;AméricaSur;2;5
Perú;Perú;AméricaSur;2;6
Argentina;Argentina;AméricaSur;2;7
Brasil;Brasil;AméricaSur;3;6
Islandia;Islandia;Europa;5;1
Escandinavia;Escandina;Europa;6;1
Gran Bretaña;GBretaña;Europa;6;2
Europa Occidental;EurOcc;Europa;6;3
Europa del Norte;EurNorte;Europa;7;2
Europa del Sur;EurSur;Europa;7;3
Rusia;Rusia;Europa;8;2
África del Norte;ANorte;África;6;5
Congo;Congo;África;6;6
Egipto;Egipto;África;7;5
África Oriental;AOriental;África;7;6
Sudáfrica;Sudáfrica;África;7;7
Madagascar;Madagasca;África;8;7
Siberia;Siberia;Asia;7;1
Yakustsk;Yakustsk;Asia;8;1
Urales;Urales;Asia;8;3
Afganistán;Afgan;Asia;8;4
Oriente Medio;OMedio;Asia;8;5
Kamchatka;Kamchatka;Asia;9;1
Irkutsk;Irkutsk;Asia;9;2
Mongolia;Mongolia;Asia;9;3
China;China;Asia;9;4
India;India;Asia;9;5
Japón;Japón;Asia;10;3
Sureste Asiático;SAsiático;Asia;10;5
Indonesia;Indonesia;Oceanía;10;7
Australia Occidental;AusOccid;Oceanía;10;8
Nueva Guinea;NGuinea;Oceanía;11;7
Australia Oriental;AusOrient;Oceanía;11;8